"No.","Time","Source","Destination","Protocol","Length","Info"
"6548","50.194769","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=504803 Win=2560 Len=0 TSval=280106868 TSecr=3421644957"
"6549","50.215725","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=504803 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6550","50.215725","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=506131 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6551","50.215725","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=507459 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6552","50.215836","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=507459 Win=2560 Len=0 TSval=280106889 TSecr=3421644957"
"6553","50.232855","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=508787 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6554","50.232855","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=510115 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6555","50.232855","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=511443 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6556","50.232958","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=510115 Win=2560 Len=0 TSval=280106906 TSecr=3421644957"
"6557","50.232999","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=512771 Win=2560 Len=0 TSval=280106906 TSecr=3421644957"
"6558","50.251353","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=512771 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6559","50.290448","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=514099 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6560","50.290448","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=515427 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6561","50.290448","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=516755 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6562","50.290448","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=518083 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6563","50.290448","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=519411 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6564","50.290448","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=520739 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6565","50.290448","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=522067 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6566","50.290448","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=523395 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6567","50.290651","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=515427 Win=2560 Len=0 TSval=280106964 TSecr=3421644957"
"6568","50.290710","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=518083 Win=2560 Len=0 TSval=280106964 TSecr=3421644957"
"6569","50.290729","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=520739 Win=2560 Len=0 TSval=280106964 TSecr=3421644957"
"6570","50.290747","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=523395 Win=2560 Len=0 TSval=280106964 TSecr=3421644957"
